donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Córdoba,Full-Time,Staff (planta permanente),301204,250000,,,6,6,3,0,43,Senior
Mendoza,Full-Time,Staff (planta permanente),293000,250000,,,0,0,0,0,24,Junior
Córdoba,Full-Time,Staff (planta permanente),700000,700000,,,15,3,3,3,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),500000,300800,,,12,7,1,0,36,Senior
Buenos Aires,Full-Time,Staff (planta permanente),112320,,,,1,1,1,0,25,Junior
Buenos Aires,Full-Time,Freelance,400000,350000,,,3,3,3,3,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1220000,1220000,Cobro todo el salario en dólares,305,5,2.5,2.5,0,30,Semi-Senior
Misiones,Full-Time,Staff (planta permanente),420000,320000,,,15,12,7,15,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,550000,,,20,0,0,0,44,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),1200000,1200000,Cobro todo el salario en dólares,4000,7,1,1,1,29,Senior
Buenos Aires,Full-Time,Staff (planta permanente),280000,242000,,,1,2,1,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),280000,220000,,,25,5,5,0,50,Senior
Córdoba,Full-Time,Staff (planta permanente),120000,115000,,,1,0,0,0,22,Junior
Córdoba,Full-Time,Staff (planta permanente),295000,295000,,,5,0,5,0,40,Semi-Senior
Neuquén,Full-Time,Staff (planta permanente),950000,680000,,,5,0,0,0,35,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),610000,400000,,,19,2.5,1,3,39,Senior
Buenos Aires,Full-Time,Staff (planta permanente),265000,215000,,,5,1,1,2,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1727000,1650000,Cobro todo el salario en dólares,,5,0,0,0,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000,205000,,,3,0,0,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,120000,120000,,,5,3,3,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,,,,15,5,5,0,35,Senior
