donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Buenos Aires,Full-Time,Staff (planta permanente),429000,287000,,,3,2,2,0,30,Semi-Senior
Tucumán,Full-Time,Staff (planta permanente),90000,90000,,,2,2,2,0,25,Junior
Buenos Aires,Full-Time,Staff (planta permanente),135000,113000,,,3,2,1,0,39,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),120000,99600,,,0,0,0,0,43,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1095000,900000,Cobro todo el salario en dólares,313,6,1,1,0,34,Senior
San Juan,Full-Time,Staff (planta permanente),160000,141000,,,0,0,0,2,30,Junior
Corrientes,Full-Time,Staff (planta permanente),265000,210000,,,20,10,2,5,50,Senior
Buenos Aires,Full-Time,Staff (planta permanente),180000,160000,,,0,0,0,0,26,Junior
Córdoba,Full-Time,Staff (planta permanente),230000,190000,Cobro parte del salario en dólares,,4,1,1,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),329000,272000,,,3,2,2,0,25,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),255000,210000,,,5,5,5,0,29,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),240000,200000,,,3,0,0,0,24,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),400000,300000,,,0,0,0,0,26,Junior
Mendoza,Full-Time,Staff (planta permanente),580000,314000,Cobro todo el salario en dólares,168,5,0,0,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,300000,,,25,3,3,4,54,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),170000,147000,Mi sueldo está dolarizado (pero cobro en moneda local),163,1,1,1,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),304000,209000,,,3,3,0,0,35,Semi-Senior
Entre Ríos,Full-Time,Tercerizado (trabajo a través de consultora o agencia),211000,188000,,,2,2,2,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,80000,130000,,,2,2,2,1,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,340000,,,10,19,5,2,38,Senior
Buenos Aires,Full-Time,Staff (planta permanente),276000,229080,,,3,0,0,0,24,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),310000,240000,,,2.5,1.5,1,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,303000,,,13,0,0,0,38,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1268000,1014400,Cobro todo el salario en dólares,,4,1,1,0,27,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),164000,138000,,,2,2,1,1,42,Junior
Buenos Aires,Full-Time,Staff (planta permanente),590000,260000,,,10,6,6,0,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),370000,300000,,,1,1,1,0,23,Junior
Río Negro,Full-Time,Remoto (empresa de otro país),1200000,1200000,Cobro todo el salario en dólares,,6,1,0,0,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000,360000,Cobro todo el salario en dólares,,1,0,0,0,21,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),713219.66,549096.64,Mi sueldo está dolarizado (pero cobro en moneda local),,10,4,2,3,44,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),165000,165000,,,2,2,2,1,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),401250,297852,Cobro parte del salario en dólares,159,1,3,0,0,1,27,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),534000,346000,,,2,0,0,10,47,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),536000,334000,,,8,3,6,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,295000,,,20,14,10,0,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),381950,350950,Cobro parte del salario en dólares,,3,0,0,0,19,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),147000,118000,,,0,0,0,0,24,Junior
Santa Fe,Full-Time,Staff (planta permanente),258400,219071,Cobro todo el salario en dólares,dolar oficial,7,2,2,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),960000,580000,,,8,8,2,8,33,Senior
Buenos Aires,Full-Time,Staff (planta permanente),864000,487000,,,7,1,3,7,39,Senior
Córdoba,Part-Time,Staff (planta permanente),120000,85000,,,1,0,0,0,25,Junior
Buenos Aires,Full-Time,Freelance,790000,790000,Cobro todo el salario en dólares,318,7,0,0,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),140000,116200,,,0,0,0,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),368750,281762,,,1,3,1,12,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),126506,105000,,,0,0,0,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),327000,265000,,,2,8,2,0,32,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),435000,265091,,,13,1,1,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),147000,133000,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),225000,225000,,,1,0,0,0,30,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),385000,320000,,,25,21,15,0,49,Senior
Buenos Aires,Full-Time,Staff (planta permanente),214419,177986,,,1,1,1,0,30,Junior
Buenos Aires,Full-Time,Staff (planta permanente),267820,222988,,,4,2,2,0,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,200000,190000,,,4,2,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,400000,,,13,1,1,5,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),441077,264924,,,3,3,3,0,35,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),435000,290000,,,2,2,0,2,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),310000,300000,Cobro todo el salario en dólares,310,1,0,1,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),600000,500000,,,15,7,7,5,35,Senior
Buenos Aires,Full-Time,Freelance,1400000,1350000,Cobro todo el salario en dólares,314,13,4,4,0,37,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),317684,222080,,,15,6,6,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),465850,305605,,,8,0,0,0,35,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),180000,173000,,,0,0,0,0,22,Junior
Entre Ríos,Full-Time,Staff (planta permanente),700000,430000,,,10,1,1,0,33,Senior
Buenos Aires,Full-Time,Freelance,120000,110000,,,5,4,4,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),437723,282907,,,7,1,1,5,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,240000,,,7,0,0,0,27,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),585000,300000,Cobro parte del salario en dólares,Oficial,2,0,0,0,25,Junior
Córdoba,Full-Time,Staff (planta permanente),210000,175000,Mi sueldo está dolarizado (pero cobro en moneda local),,5,0,2,0,31,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),750000,600000,Cobro todo el salario en dólares,309,4,1,1,0,24,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,470000,,,15,7,7,0,40,Senior
Buenos Aires,Full-Time,Freelance,380000,380000,,,20,4,4,0,50,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),428220,289102,Cobro parte del salario en dólares,,2,0,1,0,27,Junior
Buenos Aires,Full-Time,Staff (planta permanente),120000,110000,,,20,5,5,0,50,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),390000,317000,Cobro parte del salario en dólares,160,3,1,3,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000,300,Cobro parte del salario en dólares,,5,5,1,0,29,Semi-Senior
Corrientes,Full-Time,Staff (planta permanente),425000,,,,15,15,9,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,400000,,,17,12,12,0,36,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),933000,900000,Cobro todo el salario en dólares,,3,0,0,7,20,Semi-Senior
Corrientes,Full-Time,Staff (planta permanente),277000,216000,,,20,0,0,0,43,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),300000,,Cobro todo el salario en dólares,,15,3,3,0,51,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),336000,286000,,,3,3,3,0,999,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),800000,700000,Cobro todo el salario en dólares,,6,1,1.5,0,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),223000,186000,,,5,0,0,0,45,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),90000,90000,,,0,0,0,0,29,Junior
Santa Fe,Full-Time,Staff (planta permanente),340000,270000,,,3,0,0,0,26,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),321000,265000,,,0,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),375000,315400,,,10,0,0,0,35,Senior
Buenos Aires,Full-Time,Staff (planta permanente),235000,195000,,,1,1,1,0,22,Junior
Córdoba,Full-Time,Staff (planta permanente),824500,580500,Cobro parte del salario en dólares,,2,1.5,1.5,0,31,Junior
Jujuy,Full-Time,Staff (planta permanente),446000,311000,Cobro parte del salario en dólares,167,8,0,3,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000,28000,,,3,3,3,5,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),379035,286102,Mi sueldo está dolarizado (pero cobro en moneda local),,17,2,2,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,400000,,,3,2,1,0,35,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),550000,364000,,,15,1,10,7,40,Senior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),750000,600000,,,12,0,0,7,39,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Remoto (empresa de otro país),960000,960000,Mi sueldo está dolarizado (pero cobro en moneda local),320,14,8,8,6,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),510000,470000,Cobro todo el salario en dólares,,6,0,0,0,40,Senior
Buenos Aires,Full-Time,Staff (planta permanente),403000,450000,Cobro parte del salario en dólares,163,1,6,0,0,0,27,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),490000,326000,Mi sueldo está dolarizado (pero cobro en moneda local),158,3,1,1,0,26,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),345000,,,,15,15,15,0,42,Senior
Buenos Aires,Full-Time,Staff (planta permanente),200000,160000,,,1,1,1,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,250000,,,1.5,0,0,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),245000,203350,,,2,1,2,0,26,Junior
Buenos Aires,Full-Time,Staff (planta permanente),550000,300000,Cobro parte del salario en dólares,160,3,0,0,0,42,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),900000,850000,Cobro parte del salario en dólares,,12,0,0,0,39,Senior
Mendoza,Full-Time,Tercerizado (trabajo a través de consultora o agencia),227000,190000,,,1,1,1,5,28,Junior
Tucumán,Part-Time,Tercerizado (trabajo a través de consultora o agencia),162000,152000,,,2,1,1,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),583000,678300,Cobro todo el salario en dólares,180,22,3,3,0,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),230000,,,,0,0,0,0,31,Junior
Buenos Aires,Full-Time,Staff (planta permanente),320000,265600,,,2,1,1,0,32,Junior
Buenos Aires,Full-Time,Staff (planta permanente),166500,141400,,,14,14,12,0,43,Senior
Buenos Aires,Full-Time,Staff (planta permanente),90000,74700,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),589000,500000,,,4,1,1,0,54,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100000,30 000,,,0,0,0,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),340000,280000,Cobro parte del salario en dólares,,2,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,320000,,,34,4,0,8,59,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),184110,158523,,,1.5,1.5,1.5,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,380000,,,3,0,0,0,37,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),415728,261506,,0,5,2,2,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000,340000,,,3,0,0,2,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,700000,Cobro parte del salario en dólares,310,2,2,2,40,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),670000,,,,15,0,0,6,45,Senior
Córdoba,Full-Time,Staff (planta permanente),410000,292000,,,3,1.5,1.5,0,26,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),510000,320000,,,18,15,1,0,43,Senior
Córdoba,Full-Time,Staff (planta permanente),69000,65000,,,1,1,1,0,26,Junior
Santa Fe,Full-Time,Staff (planta permanente),464000,360000,,,10,12,2,15,41,Senior
Santa Fe,Full-Time,Staff (planta permanente),608776,707400,Cobro parte del salario en dólares,160.5,16,5,2,0,40,Senior
Buenos Aires,Full-Time,Staff (planta permanente),224560,186980,,,1.5,1.5,1.5,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),182500,150000,,,1,1,1,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,250000,Mi sueldo está dolarizado (pero cobro en moneda local),El Oficial,7,3,3,0,25,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),376000,270000,Cobro parte del salario en dólares,,3,2,0,0,33,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),305000,261000,Cobro parte del salario en dólares,170,2,1,1,0,26,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),405000,351000,Cobro parte del salario en dólares,171,2,1,1,0,28,Junior
Buenos Aires,Full-Time,Staff (planta permanente),181000,151000,,,1,1,1,0,27,Junior
Mendoza,Full-Time,Staff (planta permanente),370000,280000,,,1,1,1,0,29,Junior
Córdoba,Full-Time,Staff (planta permanente),565000,370000,Cobro parte del salario en dólares,161.92,5,1,1,0,47,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),114000,93000,,,0,0,0,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),111000,92000,,,0,0,0,0,37,Junior
Misiones,Full-Time,Remoto (empresa de otro país),320000,320000,Cobro todo el salario en dólares,,2,0,2,0,26,Junior
Córdoba,Full-Time,Staff (planta permanente),189000,157000,Cobro parte del salario en dólares,No lo se. Cobro 1000 usd en el exterior,4,4,2,8,29,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),383000,288500,Mi sueldo está dolarizado (pero cobro en moneda local),170 (valor banco nacion del dia 15),7,4,1,0,31,Senior
Buenos Aires,Full-Time,Staff (planta permanente),244000,202000,,,3,1,3,0,22,Semi-Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1300000,700000,Mi sueldo está dolarizado (pero cobro en moneda local),171,11,1,10,0,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000,480000,,,15,3,7,16,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),170000,150000,,,0,0,0,0,20,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),77000,77000,,,0,0,0,0,21,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),350000,280000,Cobro todo el salario en dólares,280,5,1.5,1,0,37,Semi-Senior
Salta,Full-Time,Tercerizado (trabajo a través de consultora o agencia),605000,50200,,,4,15,4,6,50,Semi-Senior
Salta,Full-Time,Staff (planta permanente),281800,220000,,,20,11,11,2,43,Senior
Santa Fe,Full-Time,Freelance,333360,276900,,,17,1,1,0,42,Senior
Salta,Full-Time,Tercerizado (trabajo a través de consultora o agencia),420000,350000,,,10,0,0,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),430000,260000,,,5,2,3,2,30,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),365000,260000,,,6,1,1,0,43,Senior
Córdoba,Full-Time,Staff (planta permanente),170000,141200,,,7,7,1,14,31,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),250470,225000,,,5,1,3,0,35,Semi-Senior
Salta,Full-Time,Staff (planta permanente),776208,737987,Cobro todo el salario en dólares,,10,5,5,0,35,Senior
Misiones,Full-Time,Staff (planta permanente),240000,199200,,,3,2,2,0,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),578000,357000,,,11,5,1,0,34,Senior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1280000,1280000,Cobro todo el salario en dólares,,4,2,2,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),330000,265000,,,20,25,10,1,50,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,900000,,,20,1,1,7,51,Senior
Buenos Aires,Full-Time,Staff (planta permanente),412000,400000,,,18,1,1,0,42,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),715000,444000,,,7,4,2,0,34,Senior
Buenos Aires,Full-Time,Staff (planta permanente),196000,163000,,,5,0,0,0,29,Semi-Senior
Río Negro,Full-Time,Remoto (empresa de otro país),1302000,1302000,Cobro todo el salario en dólares,,15,1,1,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,300000,,,4,2,2,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),220000,220000,,,4,0,0,0,32,Semi-Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),380000,230000,,,15,6,6,0,48,Senior
San Luis,Full-Time,Staff (planta permanente),404000,335000,,,7,0,0,0,31,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),1200000,1100000,Cobro todo el salario en dólares,310,20,0,0,0,43,Senior
Buenos Aires,Part-Time,Staff (planta permanente),90000,76000,,,1,1,1,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),222000,185000,Cobro parte del salario en dólares,167,2,0,2,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),505000,330000,Cobro parte del salario en dólares,170,12,9,5,2,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),475500,475500,Cobro todo el salario en dólares,317,2,2,0,2,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),840000,550000,,,19,11,4,6,45,Senior
Buenos Aires,Full-Time,Staff (planta permanente),450000,350000,,,7,0,0,0,31,Senior
Mendoza,Full-Time,Staff (planta permanente),143000,133000,,,0,0,0,0,23,Junior
Córdoba,Full-Time,Staff (planta permanente),192000,158000,,,2,2,2,0,28,Junior
Buenos Aires,Full-Time,Staff (planta permanente),380000,312000,,,2,0,2,0,38,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),410000,360000,,,7,5,2,1,40,Senior
Córdoba,Full-Time,Staff (planta permanente),450000,370000,,,20,1,10,3,42,Senior
Tucumán,Full-Time,Staff (planta permanente),560000,340000,,,11,4,4,2,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),315000,315000,,,29,16,16,8,52,Senior
Santa Fe,Full-Time,Staff (planta permanente),370000,280000,,,1,1,1,0,39,Junior
Buenos Aires,Full-Time,Staff (planta permanente),415000,315000,Cobro parte del salario en dólares,,3,0,0,0,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),430000,350000,,,9,0,0,0,36,Senior
Buenos Aires,Full-Time,Staff (planta permanente),140000,200000,,,20,16,16,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),257000,212000,,,1,1,1,6,20,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),620000,620000,Cobro todo el salario en dólares,320,2,1,1,3,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),352000,292000,,,1.5,1.5,0,0,37,Junior
Tucumán,Full-Time,Staff (planta permanente),450000,330000,,,4,1,1,0,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),184000,152000,,,2,4,4,0,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),320000,278400,Cobro todo el salario en dólares,174.8,1,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),260000,215800,,,2,0,0,0,21,Junior
Buenos Aires,Full-Time,Staff (planta permanente),270000,220000,,,33,0,0,0,57,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),180000,151000,,,5,3,3,2,33,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),656000,423000,,,16,2,2,4,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),160300,135079,,,2,0,2,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000,312,Cobro parte del salario en dólares,167,5,2,2,0,31,Semi-Senior
